TSS	Adf1_4_7mer	CrebA_2_7mer	brk_4_7mer	esg_7mer	h_1_7mer	h_2_7mer	h_3_7mer	hkb_7mer
FBgn0000014:chr3R:12655762:-	4	0	0	0	0	0	0	0
FBgn0000014:chr3R:12655769:-	4	0	0	0	0	0	0	0
FBgn0000015:chr3R:12760298:-	2	0	0	0	0	0	0	0
FBgn0000015:chr3R:12769991:-	1	0	0	0	0	0	0	0
FBgn0000022:chrX:264064:+	0	0	0	0	1	2	1	0
FBgn0000036:chr3R:20282651:-	2	0	0	0	0	0	0	0
FBgn0000037:chr2R:20277235:-	2	0	0	0	0	0	0	0
FBgn0000038:chr3L:4429370:+	0	0	0	0	0	0	0	1
FBgn0000038:chr3L:4429378:+	0	0	0	0	0	0	0	1
FBgn0000044:chr2R:16831533:+	1	0	0	0	0	0	0	0
FBgn0000055:chr2L:14615555:+	1	0	0	0	0	0	0	0
FBgn0000056:chr2L:14615555:+	1	0	0	0	0	0	0	0
FBgn0000064:chr3R:22084996:-	1	0	0	0	0	0	1	0
FBgn0000064:chr3R:22085554:-	0	2	0	0	0	0	0	0
FBgn0000064:chr3R:22087046:-	2	0	0	0	0	0	0	0
FBgn0000064:chr3R:22087313:-	2	0	0	0	0	0	0	0
FBgn0000071:chr3R:2588315:+	1	0	0	0	0	0	0	0
FBgn0000097:chr2L:2161522:-	1	0	0	0	0	0	0	0
FBgn0000097:chr2L:2178749:-	1	0	0	0	0	0	0	0
FBgn0000099:chr2R:1614335:-	1	0	0	0	0	0	0	0
FBgn0000116:chr3L:9059127:-	1	0	0	0	0	0	0	0
FBgn0000137:chrX:354533:+	0	0	0	0	1	2	1	0
FBgn0000152:chrX:16577928:-	0	2	0	0	0	0	0	0
FBgn0000179:chrX:4306889:+	1	0	0	0	0	0	0	0
FBgn0000179:chrX:4307495:+	1	0	0	0	0	0	0	0
FBgn0000179:chrX:4321169:+	3	0	0	0	0	0	0	0
FBgn0000210:chrX:1503176:+	3	0	0	0	0	0	0	0
FBgn0000210:chrX:1506374:+	1	0	0	0	0	0	0	0
FBgn0000233:chrX:9588221:+	2	0	0	0	0	0	0	0
FBgn0000241:chr2R:19426008:-	1	0	0	0	0	0	0	0
FBgn0000241:chr2R:19426016:-	1	0	0	0	0	0	0	0
FBgn0000253:chr2R:8152065:+	0	2	0	0	0	0	0	0
FBgn0000256:chr2L:3890025:-	0	0	0	0	0	2	0	0
FBgn0000256:chr2L:3890031:-	0	0	0	0	0	2	0	0
FBgn0000299:chr2L:5029639:+	1	0	0	0	0	0	0	0
FBgn0000299:chr2L:5029665:+	1	0	0	0	0	0	0	0
FBgn0000303:chr3R:14531245:+	1	0	0	0	0	0	0	0
FBgn0000303:chr3R:14531256:+	1	0	0	0	0	0	0	0
FBgn0000338:chr3R:19026372:-	1	0	0	0	0	0	0	1
FBgn0000394:chrX:5584029:+	1	0	0	0	0	0	0	0
FBgn0000448:chr2R:6120896:-	2	0	0	0	0	0	0	0
FBgn0000459:chrX:16110739:-	2	0	0	0	0	0	0	0
FBgn0000459:chrX:16110767:-	2	0	0	0	0	0	0	0
FBgn0000463:chr3R:15151935:-	0	0	0	0	1	0	1	0
FBgn0000479:chrX:3185154:+	2	0	0	0	0	0	0	0
FBgn0000479:chrX:3185277:+	2	0	0	0	0	0	0	0
FBgn0000479:chrX:3189314:+	3	0	0	0	0	0	0	0
FBgn0000490:chr2L:2449061:+	0	0	1	0	0	0	0	0
FBgn0000492:chr3R:25382109:+	1	0	0	0	0	0	0	0
FBgn0000504:chr3R:3788508:-	1	0	0	0	0	0	0	0
FBgn0000527:chr3R:17062900:-	1	0	0	0	0	0	0	0
FBgn0000535:chrX:14865289:+	1	0	0	0	0	0	0	0
FBgn0000536:chrX:16172360:+	1	0	0	0	0	0	0	0
FBgn0000536:chrX:16172410:+	1	0	0	0	0	0	0	0
FBgn0000536:chrX:16172612:+	1	0	0	0	0	0	0	0
FBgn0000546:chr2R:2030470:-	1	0	0	0	0	0	0	0
FBgn0000556:chr2R:7779597:+	0	0	0	0	0	0	0	1
